iter	Passed	Remaining
0	0	832
1	1	732
2	2	691
3	2	678
4	3	668
5	4	663
6	4	658
7	5	653
8	5	647
9	6	646
10	7	644
11	7	653
12	8	674
13	9	680
14	10	684
15	11	682
16	11	683
17	12	679
18	13	674
19	13	671
20	14	667
21	14	664
22	15	663
23	16	659
24	16	657
25	17	653
26	18	650
27	18	647
28	19	644
29	19	642
30	20	639
31	21	637
32	21	636
33	22	634
34	23	636
35	23	640
36	24	642
37	25	646
38	26	648
39	27	650
40	27	647
41	28	645
42	28	644
43	29	642
44	30	641
45	30	639
46	31	637
47	32	635
48	32	633
49	33	633
50	33	631
51	34	629
52	35	628
53	35	627
54	36	630
55	37	629
56	37	628
57	38	631
58	39	632
59	40	632
60	41	632
61	41	632
62	42	630
63	43	629
64	43	627
65	44	625
66	44	624
67	45	623
68	46	622
69	46	620
70	47	619
71	47	618
72	48	617
73	49	616
74	49	614
75	50	613
76	51	612
77	51	611
78	52	610
79	52	609
80	53	608
81	54	611
82	55	607
83	55	608
84	56	608
85	57	608
86	57	606
87	58	605
88	59	604
89	59	603
90	60	602
91	60	601
92	61	600
93	62	599
94	62	598
95	63	597
96	64	596
97	64	595
98	65	595
99	66	594
100	66	593
101	67	592
102	67	591
103	68	590
104	69	592
105	70	593
106	71	593
107	71	593
108	72	593
109	73	592
110	73	591
111	74	590
112	75	589
113	75	588
114	76	586
115	76	585
116	77	584
117	78	583
118	78	582
119	79	581
120	79	580
121	80	578
122	81	578
123	81	577
124	82	576
125	83	575
126	83	574
127	84	574
128	85	575
129	86	575
130	86	575
131	87	574
132	88	574
133	88	573
134	89	572
135	89	571
136	90	570
137	91	569
138	91	568
139	92	567
140	93	566
141	93	564
142	94	563
143	94	563
144	95	562
145	96	561
146	96	560
147	97	559
148	97	559
149	98	558
150	99	557
151	100	558
152	100	557
153	101	557
154	102	556
155	102	556
156	103	555
157	104	554
158	104	553
159	105	553
160	105	551
161	106	550
162	107	549
163	107	549
164	108	548
165	108	547
166	109	546
167	110	546
168	110	545
169	111	544
170	112	543
171	112	542
172	113	541
173	114	541
174	114	541
175	115	541
176	116	540
177	116	539
178	117	539
179	118	538
180	118	537
181	119	536
182	120	535
183	120	535
184	121	534
185	121	533
186	122	532
187	123	531
188	123	531
189	124	531
190	125	530
191	125	529
192	126	528
193	127	527
194	127	527
195	128	526
196	129	525
197	129	525
198	130	525
199	131	525
200	132	524
201	132	524
202	133	524
203	134	523
204	134	523
205	135	522
206	136	521
207	136	520
208	137	519
209	137	519
210	138	518
211	139	517
212	139	517
213	140	516
214	141	515
215	141	514
216	142	514
217	143	513
218	143	512
219	144	511
220	144	511
221	145	511
222	146	511
223	147	510
224	148	510
225	148	509
226	149	509
227	150	508
228	150	507
229	151	507
230	152	506
231	152	505
232	153	505
233	154	504
234	154	503
235	155	502
236	155	502
237	156	501
238	157	500
239	157	499
240	158	498
241	159	498
242	159	497
243	160	497
244	161	497
245	162	497
246	162	496
247	163	495
248	164	494
249	164	493
250	165	493
251	165	492
252	166	491
253	167	490
254	167	490
255	168	489
256	169	488
257	169	488
258	170	487
259	170	486
260	171	485
261	172	485
262	172	484
263	173	483
264	174	482
265	174	482
266	175	481
267	176	481
268	177	481
269	177	480
270	178	480
271	179	479
272	179	479
273	180	478
274	181	477
275	181	476
276	182	476
277	182	475
278	183	474
279	184	473
280	184	473
281	185	472
282	186	471
283	186	470
284	187	469
285	188	469
286	188	468
287	189	468
288	189	467
289	190	466
290	191	466
291	192	465
292	192	465
293	193	464
294	194	463
295	194	463
296	195	462
297	196	461
298	196	461
299	197	460
300	197	459
301	198	459
302	199	458
303	199	457
304	200	456
305	201	455
306	201	455
307	202	454
308	202	453
309	203	453
310	204	452
311	204	451
312	205	450
313	206	450
314	206	449
315	207	449
316	208	448
317	208	447
318	209	447
319	210	446
320	210	445
321	211	445
322	211	444
323	212	443
324	213	442
325	213	442
326	214	441
327	215	440
328	215	439
329	216	439
330	216	438
331	217	437
332	218	436
333	218	436
334	219	435
335	220	434
336	220	434
337	221	433
338	222	433
339	222	432
340	223	432
341	224	431
342	224	430
343	225	430
344	226	429
345	226	428
346	227	428
347	228	427
348	228	426
349	229	425
350	229	424
351	230	424
352	231	423
353	231	422
354	232	421
355	232	421
356	233	420
357	234	419
358	234	419
359	235	418
360	235	417
361	236	417
362	237	417
363	238	416
364	239	415
365	239	415
366	240	414
367	240	413
368	241	413
369	242	412
370	242	411
371	243	411
372	244	410
373	244	409
374	245	408
375	245	408
376	246	407
377	247	406
378	247	405
379	248	405
380	249	404
381	249	403
382	250	403
383	250	402
384	251	401
385	252	401
386	253	400
387	253	400
388	254	399
389	254	398
390	255	398
391	256	397
392	256	396
393	257	395
394	258	395
395	258	394
396	259	393
397	259	393
398	260	392
399	261	391
400	261	391
401	262	390
402	263	389
403	263	388
404	264	388
405	264	387
406	265	386
407	266	386
408	266	385
409	267	385
410	268	384
411	269	384
412	269	383
413	270	382
414	271	382
415	271	381
416	272	380
417	272	380
418	273	379
419	274	378
420	274	378
421	275	377
422	276	376
423	276	375
424	277	375
425	277	374
426	278	373
427	279	373
428	279	372
429	280	371
430	280	370
431	281	370
432	282	369
433	283	369
434	283	368
435	284	367
436	285	367
437	285	366
438	286	366
439	287	365
440	287	364
441	288	364
442	289	363
443	290	363
444	290	362
445	291	361
446	291	361
447	292	360
448	293	359
449	293	359
450	294	358
451	295	357
452	295	357
453	296	356
454	296	355
455	297	355
456	298	354
457	299	354
458	299	353
459	300	352
460	301	352
461	301	351
462	302	350
463	302	349
464	303	349
465	304	348
466	304	347
467	305	347
468	306	346
469	306	345
470	307	345
471	307	344
472	308	343
473	309	343
474	309	342
475	310	341
